Month,Grace Hopper,Elinor Ostrom
2004-01,7,0
2004-02,7,0
2004-03,12,0
2004-04,8,0
2004-05,3,0
2004-06,6,1
2004-07,3,1
2004-08,5,1
2004-09,10,1
2004-10,8,3
2004-11,8,1
2004-12,3,1
2005-01,4,1
2005-02,7,1
2005-03,13,1
2005-04,7,1
2005-05,8,1
2005-06,1,1
2005-07,3,2
2005-08,6,1
2005-09,4,1
2005-10,5,1
2005-11,5,1
2005-12,2,1
2006-01,4,1
2006-02,3,2
2006-03,5,1
2006-04,5,1
2006-05,5,0
2006-06,3,0
2006-07,2,0
2006-08,4,1
2006-09,3,1
2006-10,4,1
2006-11,3,1
2006-12,6,1
2007-01,2,0
2007-02,5,3
2007-03,5,1
2007-04,2,1
2007-05,3,1
2007-06,3,1
2007-07,2,0
2007-08,2,1
2007-09,4,1
2007-10,7,1
2007-11,3,1
2007-12,2,1
2008-01,7,0
2008-02,3,2
2008-03,4,1
2008-04,2,0
2008-05,4,1
2008-06,3,2
2008-07,2,1
2008-08,2,0
2008-09,3,1
2008-10,4,1
2008-11,2,1
2008-12,2,1
2009-01,1,1
2009-02,2,0
2009-03,3,1
2009-04,3,1
2009-05,3,1
2009-06,1,0
2009-07,1,0
2009-08,2,1
2009-09,4,1
2009-10,2,13
2009-11,2,2
2009-12,2,2
2010-01,3,1
2010-02,2,1
2010-03,2,1
2010-04,3,1
2010-05,6,1
2010-06,1,1
2010-07,1,1
2010-08,2,1
2010-09,3,1
2010-10,2,1
2010-11,1,1
2010-12,2,0
2011-01,1,1
2011-02,2,1
2011-03,3,1
2011-04,1,1
2011-05,1,1
2011-06,1,0
2011-07,1,1
2011-08,2,1
2011-09,3,1
2011-10,2,1
2011-11,3,1
2011-12,1,1
2012-01,2,1
2012-02,3,1
2012-03,2,0
2012-04,2,1
2012-05,1,1
2012-06,1,2
2012-07,1,0
2012-08,2,1
2012-09,4,1
2012-10,3,0
2012-11,1,0
2012-12,1,1
2013-01,1,1
2013-02,1,1
2013-03,2,1
2013-04,2,1
2013-05,2,0
2013-06,2,1
2013-07,1,0
2013-08,1,1
2013-09,4,1
2013-10,3,1
2013-11,1,1
2013-12,100,0
2014-01,3,0
2014-02,2,1
2014-03,3,0
2014-04,2,1
2014-05,2,0
2014-06,1,0
2014-07,2,0
2014-08,3,0
2014-09,4,0
2014-10,7,1
2014-11,2,1
2014-12,2,1
2015-01,3,0
2015-02,3,1
2015-03,4,1
2015-04,3,1
2015-05,3,1
2015-06,3,0
2015-07,2,0
2015-08,4,0
2015-09,4,1
2015-10,7,0
2015-11,3,0
2015-12,3,0
2016-01,2,0
2016-02,3,0
2016-03,3,1
2016-04,3,1
2016-05,3,0
2016-06,2,0
2016-07,4,0
2016-08,2,0
2016-09,4,0
2016-10,7,1
2016-11,5,1
2016-12,2,0
2017-01,2,0
2017-02,6,0
2017-03,3,1
2017-04,3,1
2017-05,3,0
2017-06,3,1
2017-07,5,1
2017-08,4,0
2017-09,7,0
2017-10,8,1
2017-11,2,1
2017-12,2,0
2018-01,3,0
2018-02,3,1
2018-03,3,1
2018-04,2,1
2018-05,3,0
2018-06,3,1
2018-07,5,0
2018-08,4,0
2018-09,10,1
2018-10,5,1
2018-11,3,0
2018-12,2,0
2019-01,2,0
2019-02,3,1
2019-03,5,0
2019-04,3,1
2019-05,3,0
2019-06,3,0
2019-07,4,0
2019-08,4,0
2019-09,6,0
2019-10,8,1
2019-11,2,0
2019-12,2,0
2020-01,3,0
2020-02,3,0
2020-03,3,0
2020-04,2,0
2020-05,2,0
2020-06,2,0
2020-07,3,0
2020-08,3,0
2020-09,5,1
2020-10,2,0
2020-11,1,0
2020-12,2,0
2021-01,1,1
2021-02,1,0
2021-03,2,1
2021-04,2,0
2021-05,1,1
2021-06,1,0
2021-07,2,1
